,Place,Event,Time,Date,Subject
10269,some act,which,,,
10270,reasons,,,,
10271,any custom,The Agricultural Holdings Act,,,
10272,,Section,,,
10273,writing,the landlord,,,
10274,the Agricultural Holdings Act,,,,
10275,,An agricultural lease,,,
10276,remedies,the land,,,
10277,the Stamp Act,Jared Ingersoll,,,Benjamin Franklin
10278,the dark,they,,,
10279,a crowd,they,,,
10280,remote alkalis,they,,,
10281,act,he,,,
10282,Baldwin II,,,,
10283,Edessa,,,,
10284,one great act,which,,,
10285,,the Crusades,,,
10286,,the Cape government,,,
10287,"some ""Sun",This act,,,Kaffir
10288,Armenia,,,,Trajan
10289,the Reconstruction Act,The legislature,,,
10290,the central criminal court,,,,
10291,the body,,,,
10292,the king's highness,,,,Chancery
10293,the Admiralty Court Act,,,,
10294,barristers,,,,
10295,the Irish High Court,this,,,
10296,private rights,,,,
10297,the antagonism,who,,,
10298,,one,,,
10299,the same cool,he,,,
10300,receptacula seminis,which,,,
10301,his absence,he,,,Joseph Bonaparte
10302,the series,the exercitant,,,
10303,,,,,
10304,,,,,
10305,the exclusive party,,,,
10306,,one,,,
10307,,,,,
10308,a few minutes,Fritz,,,Davis
10309,Quinn,Both Martha,,,Martha
10310,,That danger,,,
10311,,She,,,
10312,,she,,,Cade
10313,,You,,,
10314,,I,,,
10315,the time,,,,
10316,technology,money,,,
10317,,She,,,
10318,,It,,,
10319,,they,,,
10320,,,,,
10321,,I,,,Edmund Clarence Stedman
10322,,she,,,
10323,,,,,
10324,,it,,,
10325,,he,,,
10326,,,,,
10327,,,,,
10328,,They,,,
10329,,I,,,Jefferson
10330,,We,,,
10331,,He,,,
10332,,You,,,
10333,,,,,
10334,Rosewater,He,,,Cynthia Byrne
10335,the facts,he,,,
10336,,which,,,
10337,Golfo,,,,La Maddalena
10338,,,,,
10339,Fonni,the road,,,
10340,,the Aragonese,,,
10341,,He,,,Duris of Samos
10342,,,,,
10343,Birmingham,Birmingham,,,
10344,,,,,
10345,,that,,,
10346,the vulnerabilities,who,,,Darkyn
10347,slime,She,,,
10348,,she,,,
10349,Charlotte,South Carolina,,,
10350,her,Tim,,,Tim
10351,,,,,
10352,his dream,he,,,
10353,,He,,,Byrne
10354,the one day,Dean,,,Byrne
10355,Aberdeen,,,,
10356,,,,,buff
10357,her mysterious benefac­tor,she,,,Dean
10358,Fred,Dean,,,Fred
10359,,Carmen,,,Josh
10360,everyone,,,,Darian
10361,their White God,the Guardians,,,
10362,him,what,,,Jenn
10363,her,that,,,
10364,,he,,,
10365,,that,,,
10366,,I,,,
10367,,It,,,Jenn
10368,the cave,an animal,,,
10369,it,that,,,
10370,the majority,,,,
10371,,I,,,
10372,,I,,,
10373,entertainment,he,,,
10374,,me,,,
10375,,Jonny,,,Jonny
10376,,,,,
10377,the next two messages,She,,,Laurie
10378,which,Cat,,,
10379,him,her,,,
10380,,he,,,
10381,,that time,,,
10382,,we,,,
10383,her,He,,,
10384,,she,,,
10385,,,,,Jenn
10386,,You,,,
10387,,me,,,
10388,,,,,
10389,,she,,,Xander
10390,,,,,
10391,,we,,,
10392,,,,,Jebel Dyr
10393,which,we,,,
10394,the form,which,,,
10395,us,they,,,
10396,the light,he,,,
10397,old Stuttgart,"The lower, or south-eastern, part",,,
10398,Friedenskirche,the cloisters,,,St Nicholas
10399,,,,,
10400,the comparatively remote epoch,the swamps,,,
10401,them,this change,,,
10402,ethylene experiment,,,,
10403,New York,he,,,
10404,place,,,,
10405,Nottingham,which,,,Nottingham
10406,any case,It,,,Schepotieff
10407,the sun,,,,
10408,,,,,
10409,the presence,Alkaline carbonates,,,
10410,hydrochloric acid,It,,,
10411,,,,,
10412,a quarrel,He,,,Adolf
10413,the study,He,,,Shakespeare
10414,the great edition,He,,,Abu-1Walid
10415,,,,,Leopold II
10416,,This railway,,,La Paz
10417,Cuzco,,,,Huancayo
10418,Corbridge,who,,,Olfwald
10419,its members,the archbishop,,,Higham Ferrers
10420,,,,,
10421,Delaware,,,,
10422,production,Hot concentrated sulphuric acid,,,
10423,fermentation,Duclaux,,,Duclaux
10424,,,,,
10425,the manufacture,,,,
10426,"wire-netting, telegraphic purposes",,,,&c.
10427,his avarice,he,,,Matthew of
10428,Pius VII,,,,Pius VII
10429,,,,,
10430,the temple-schools,both,,,
10431,a man,The Letters,,,
10432,the same table,he,,,
10433,Haussonville,,,,Haussonville
10434,Leo's unholy war,which,,,Leo
10435,the zenith,The colour,,,
10436,a large quantity,he,,,
10437,other parts,,,,
10438,their molar teeth,a thicker enamel,,,
10439,,,,,
10440,which,,,,Angouleme
10441,,It,,,
10442,,,,,
10443,the Piedmontese,which,,,
10444,,A large number,,,
10445,Europe,,,,
10446,the great height,,,,
10447,electricity,he,,,
10448,,,,,
10449,,The values,,,
10450,,it,,,
10451,addition,It,,,
10452,Henry,,,,
10453,the statistics,,,,
10454,the species,A good deal,,,
10455,the soil,A good deal,,,
10456,luminous beetles,the well-known glow-worm,,,
10457,rain,,,,
10458,a dilute solution,,,,
10459,his residence,the mansion,,,
10460,the Canal Zone,The United States government,,,
10461,,,,,Benedetto
10462,the most part,,,,
10463,the plateau rocks,Petroleum,,,
10464,the Ohio,The Little Kanawha,,,
10465,specific duties,the sheriff,,,
10466,the governor,,,,
10467,,Each magisterial district,,,
10468,the governor,,,,
10469,,,,,
10470,,,,,
10471,,,,,Philip Livingston
10472,wider senses,,,,
10473,the Albemarle Female Institute,,,,
10474,,,,,
10475,the Palestine Exploration Fund,,,,The Marissa Tombs
10476,the people,He,,,
10477,stores,it,,,
10478,the west end,this,,,
10479,any small crevices,the wet,,,
10480,,he,,,
10481,his father's return,,,,
10482,his behalf,,,,
10483,,stereotyped punishments,,,
10484,the town-hall,,,,
10485,the case,that,,,
10486,,,,,
10487,London,He,,,
10488,his paper,he,,,Austin Woolfolk
10489,the microscopes,which,,,
10490,the time,The same firm,,,
10491,the photographic plates,dust particles,,,
10492,iron comparison lines,Hartmann,,,
10493,Wynkyn de Worde,,,,
10494,Sweden,,,,
10495,a greater or less degree,which,,,
10496,the history,,,,
10497,,,,,Aliwal North
10498,,,,,
10499,this difference,,,,
10500,the Nurra,They,,,
10501,the southern half,Anthropologists,,,
10502,the lower animals,Sergi,,,Sergi
10503,,The native costumes,,,
10504,considerable numbers,,,,
10505,,,,,
10506,Bacu Abis,,,,Anthracite
10507,,,,,Dorsetshire
10508,Poole,he,,,
10509,the people,"a ""Remonstrance",,,
10510,,,,,
10511,the owner,,,,
10512,the author's MSS,He,,,
10513,,,,,
10514,Lutheran,the Reformed or Calvinistic Churches,,,
10515,the Lutherans,They,,,
10516,a congregation,,,,
10517,upholstery,,,,
10518,the more expensive kinds,which,,,
10519,,,,,
10520,which,the town,,,Amrita Turas
10521,Podebrad,a diet,,,Podebrad
10522,Rome,,,,
10523,,which,,,
10524,the constitution,king,,,
10525,,,,,
10526,the original nine canals,,,,Ko
10527,the apple orchards,The mistletoe,,,
10528,the robur,,,,
10529,,his writings,,,Maximilian
10530,,papers,,,
10531,the Egyptian Seth,,,,
10532,the provincial newspapers,he,,,
10533,,,,,
10534,,,,,William II
10535,"a ""cavalier",,,,
10536,"the ""cat o' nine tails",,,,
10537,Great Britain,they,,,
10538,Madagascar,,,,
10539,relatively slender limbs,the body,,,
10540,showing,Faraday,,,Faraday
10541,affairs,the mayor,,,
10542,the closing years,,,,Leeds
10543,some penalty,He,,,
10544,such a way,he,,,
10545,,,,,
10546,Hobbes,which,,,Gassendi
10547,our wish,which,,,
10548,Descartes,,,,
10549,,It,,,
10550,,,,,
10551,the countess,,,,
10552,,,,,
10553,barracks,,,,Gabriel Bethlen
10554,,,,,Herbartian
10555,New Guinea,,,,Araucaria Cunninghami
10556,New Caledonia,Araucaria Cookii,,,Araucaria Cookii
10557,the New Hebrides,,,,
10558,,,,,Augustales
10559,Ostia,We,,,
10560,Meo del Caprina,,,,Meo del Caprina
10561,Rome,,,,Bonaventura
10562,accident,,,,Summa
10563,time,,,,
10564,,who,,,Ivan
10565,his chief antagonist Stephen Bathory,,,,Stephen Bathory
10566,even the not very lofty moral standard,which,,,St Philip Ivan
10567,this time,Athens,,,
10568,the first time,who,,,
10569,Pericles,which,,,
10570,,,,,
10571,the rest,which,,,
10572,the Genoese,who,,,
10573,,The monastery,,,
10574,those days,,,,
10575,,many magnates,,,Eglinton
10576,,,,,
10577,the act,Australasian clubs,,,
10578,the subject,he,,,
10579,,,,,
10580,that neighbourhood famous marble quarries,,,,
10581,Assyria,,,,
10582,navigation,,,,
10583,this point,the palm groves,,,Bagdad
10584,this neighbourhood,,,,
10585,the common minerals,The gas,,,
10586,nitrogen,The gas,,,
10587,,,,,Proclid
10588,modern times,A large sugar-beet industry,,,
10589,,,,,
10590,Amiens,It,,,
10591,the 12th and 13th centuries,the church,,,
10592,,,,,
10593,this category,I,,,
10594,North Schleswig,I,,,
10595,Lithuania,I,,,
10596,,He,,,
10597,Greece,The first book,,,
10598,,a seminary,,,
10599,Henry III,who,,,Henry III
10600,his native town,he,,,Aesculapius
10601,the statement,which,,,
10602,,which,,,
10603,a Turkish chief,which,,,
10604,the great primeval deluge,,,,
10605,valonia,it,,,
10606,every part,he,,,
10607,London,who,,,Peter
10608,Reading school,Henry Vansittart,,,Robert
10609,,,,,
10610,,,,,
10611,,Powell,,,Powell
10612,,The city,,,
10613,their host,the females,,,
10614,,,,,
10615,his stay,the commencement,,,
10616,,,,,
10617,the south-eastern districts,,,,
10618,,,,,
10619,enforced migrations,who,,,
10620,the presidency,the confederation,,,Serkarde
10621,,,,,
10622,difficulty,the Albanians,,,
10623,Amalek,Josephus,,,Acrabbim
10624,,,,,
10625,,,,,
10626,the transport,,,,
10627,,,,,
10628,the United States,Icelanders,,,
10629,,,,,
10630,Lake Manitoba,Lake Manitoba,,,
10631,Manitoba,The Great Northern railway,,,
10632,some extent,the products,,,
10633,,woodwork,,,
10634,a point,which,,,
10635,boilers,,,,
10636,,,,,
10637,,,,,Lydgate
10638,,A fine pavilion,,,de l'Etoile
10639,perhaps the most memorable period,,,,
10640,,,,,
10641,a wild country,Napier,,,
10642,his aid,he,,,Robert Logan
10643,,Briggs,,,Briggs
10644,the completion,A great disappointment,,,
10645,Denver,Denver,,,
10646,,,,,
10647,virtue,,,,Jesus
10648,most Presbyterian churches,,,,
10649,order,,,,
10650,the north,,,,
10651,the society,who,,,
10652,an eight days' fair beginning,in 1445 John de la Pole,,,Michaelmas
10653,his adventures,,,,Memoirs
10654,,,,,
10655,repeated hostilities,it,,,Piacenza
10656,the Freeman's Journal,He,,,Freeman
10657,,it,,,
10658,,the markings,,,
10659,intricate channels,which,,,
10660,way,the water,,,
10661,Tripoli,1850 James Richardson,,,Heinrich Barth
10662,France,The north and north-west shores,,,
10663,,,,,
10664,San Luis,The Desaguadero,,,Desaguadero
10665,a drainage,small streams,,,
10666,small lakes,,,,
10667,,,,,
10668,,which,,,
10669,,,,,
10670,,,,,Hydrochoerus
10671,scientific research,they,,,
10672,,,,,Celman
10673,the great distances,,,,
10674,agricultural industry,,,,
10675,the fact,The existing system,,,
10676,,Each province,,,
10677,30 Argentine officers,the president,,,
10678,Buenos Aires,,,,Lujan
10679,,,,,
10680,the large cities,,,,
10681,Annecy,,,,Nantua
10682,the Atlantic coast,the humidity,,,
10683,the axes,The oldest rocks,,,
10684,Pyrenees,who,,,
10685,Dauphin,,,,
10686,its coal-fields,,,,
10687,their freestone,,,,Isre
10688,civil marriages,He,,,
10689,a given case,an administration,,,
10690,each court,,,,
10691,the parquet,,,,
10692,,It,,,
10693,a central bureau,which,,,c. secondly
10694,,who,,,
10695,,,,,
10696,a means,which,,,
10697,the provisions,,,,
10698,,,,,
10699,the Ecole de Guerre,who,,,
10700,special subjects,,,,
10701,organized squadrons,his authority,,,
10702,the submarine defences,The prefect,,,
10703,Algeria,,,,
10704,,the Departmental Council,,,
10705,the date,a law,,,
10706,f22,The lyces,,,
10707,an avou,which,,,
10708,force,,,,
10709,an irruption,,,,
10710,perpetual secretary,He,,,
10711,,he,,,La Petimetra
10712,,which,,,
10713,,,,,
10714,,He,,,
10715,,,,,
10716,,,,,
10717,,,,,
10718,potassium hydroxide,,,,
10719,,,,,
10720,heating ammonium oxalate,,,,
10721,blast-furnace gases,It,,,
10722,governor,who,,,
10723,the same person,,,,
10724,a serjeant,who,,,
10725,the descendants,,,,
10726,,,,,Ovinehei
10727,,Their produce,,,
10728,,it,,,Domnarfvet
10729,,,,,Falun
10730,the treaty,He,,,Hubert de Burgh
10731,the middle,the crystalline silvery,,,
10732,the composition,whose opponent,,,
10733,the temple,,,,
10734,Fraunhofer,He,,,Fraunhofer
10735,the Don,,,,Don
10736,Sarepta,,,,
10737,the raids,who,,,Volga
10738,the sides,,,,
10739,its roof,The aquarium,,,
10740,,,,,Queen
10741,direction,,,,&c.
10742,,,,,
10743,strata,Fossil,,,Oligocene
10744,the stomach,Dr Einar Lonnberg,,,
10745,Professor Max Weber,,,,koala
10746,the same type,,,,
10747,,The same deposits,,,Sthenurus
10748,the phalangers,,,,
10749,,fossil remains,,,
10750,the Tyropoeon valley,a stream,,,
10751,the conveyance,the remains,,,
10752,the period,who,,,Simon II
10753,Antonia,He,,,N.W.
10754,,The empress,,,St Stephen
10755,the Mosque,who,,,Abd el Malek
10756,Bethlehem,,,,
10757,churches,The village,,,Siloam
10758,Suidas,,,,
10759,Ausonius,He,,,
10760,account,He,,,Scutari
10761,Paris,,,,
10762,,The mixture,,,
10763,the solid form,which,,,Boron
10764,a red-hot porcelain tube,Boron,,,Boron
10765,a metallic cyanide,,,,boron trioxide
10766,,Long-continued heating,,,
10767,many cases,which,,,
10768,the oxidation,,,,
10769,,He,,,
10770,the Deuteronomic decalogue,it,,,
10771,the first hour,Mercury,,,Moon
10772,the presence,the king,,,Elul
10773,,,,,
10774,Assyria,This,,,
10775,simple vowels,it,,,
10776,the Siculi,Stephanus,,,Aurunci
10777,the Turks,the prince,,,Gabriel Bathory
10778,the emperor,,,,Matthias
10779,,He,,,
10780,,The moral interest,,,Bishop Butler
10781,conditions,he,,,
10782,Plataea,he,,,Elis
10783,,,,,
10784,,,,,
10785,Italy,,,,Alphonso V.
10786,which,The picturesque fortifications,,,
10787,the Knights,that,,,
10788,the westernmost parts,Its colonies,,,
10789,such settlements,,,,Gela
10790,the estuary,,,,
10791,Van Diemen's Gulf,,,,
10792,the lower or Greta Coal Measures,Kitson's work,,,Greta Coal Measures
10793,northern Tasmania,They,,,
10794,the Lake Phillipson bore,,,,
10795,New South Wales,,,,
10796,,He,,,
10797,,,,,
10798,,,,,
10799,tubercles,which,,,
10800,the carpet snake,which,,,
10801,,which,,,
10802,the coasts,,,,
10803,commercial license,,,,
10804,,It,,,
10805,,,,,
10806,an accident,,,,Mill
10807,Burke's speculation,Moses Mendelssohn,,,Moses Mendelssohn
10808,,,,,
10809,,,,,Shakespeare
10810,,we,,,
10811,,These,,,
10812,,four data platforms,,,
10813,analysis,,,,
10814,,,,,
10815,,the user,,,
10816,,we,,,
10817,proper annotation,you,,,
10818,,,,,
10819,some past disaster,,,,
10820,,,,,
10821,,each access point,,,
10822,,,,,
10823,aging,Many individuals,,,
10824,pure happiness,I,,,
10825,,who,,,
10826,that treaty,every attribute,,,
10827,an unusual degree,he,,,
10828,the fall,the sacred writings,,,Aristotle
10829,,,,,
10830,large measure,they,,,
10831,the messenger,he,,,
10832,an altar,,,,
10833,which,Eastern nations,,,
10834,any great share,,,,Mignard
10835,the Metaphysics,the distinction,,,
10836,,,,,Plato
10837,historical documents,The legends,,,
10838,modern materialists mind,,,,
10839,an attribute,It,,,
10840,Haeckel,,,,
10841,,it,,,
10842,objects,I,,,&c.
10843,Schelling,he,,,
10844,the third place,,,,
10845,fortresses,we,,,
10846,which,the Goths,,,Goths
10847,it,he,,,
10848,Eusebius,,,,Tarsus
10849,any rate,,,,Knox
10850,Veii,we,,,
10851,two cases,Patrician rank,,,Vita Juliani
10852,the Arab conquerors,Others,,,
10853,rotation,it,,,
10854,conjunction,the Portuguese chroniclers,,,Mambo
10855,hunting,others,,,
10856,,,,,
10857,which,what,,,
10858,the substance,,,,
10859,the different parts,the polygon,,,
10860,a common source,who,,,Wolf
10861,a wholly subordinate condition,,,,
10862,the discrepancy,this theory,,,
10863,,to-morrow,,,
10864,individual acts,that,,,
10865,them,chance,,,
10866,,,,,
10867,the Greek goddess,the special attribute,,,
10868,seafarers,who,,,yaXrpala
10869,a bodyguard,he,,,
10870,,,,,
10871,hostile lances,the chronicle,,,Herr Burkli
10872,the IraO'q,he,,,
10873,the Turks,the Saracens,,,
10874,bare breast,,,,
10875,him,which,,,Machiavellian
10876,the goddess,The attribute,,,
10877,Aristotle,,,,Aristotle
10878,an attribute,This pantheistic doctrine,,,
10879,him,his outward acts,,,
10880,Shamash,,,,
10881,,Two sites,,,
10882,your own experiences,you,,,
10883,,The optional id attribute,,,
10884,Antonio,this final attribute,,,Antonio
10885,,Common attribute,,,
10886,stupidity,,,,
10887,,Each subschema subentry,,,
10888,the same attribute,a directory,,,
10889,the stress-energy tensor,which,,,
10890,God,,,,
10891,a sexually immature condition,it,,,
10892,,,,,
10893,him,Xavier,,,
10894,an intrigue,Others,,,
10895,their doctrines,he,,,
10896,his influence,we,,,Berengar
10897,its course,,,,
10898,a now extinct prehistoric race,Most observers,,,Cyprian Bridge
10899,the heathen state,We,,,
10900,it,Darwin,,,Darwin
10901,it,it,,,Greeks
10902,him,,,,
10903,us,they,,,Manu
10904,Venice,we,,,St Mark's
10905,a man,he,,,
10906,others,Cosimo,,,Cosimo
10907,Menelek,,,,Solomon
10908,,they,,,Halske
10909,,,,,
10910,,They,,,
10911,the ` will,,,,
10912,the time,it,,,St Andrew
10913,Mahommed Gran,Axum,,,Harrar
10914,the imperfections,,,,
10915,the Emperor,the demagogic appeals,,,
10916,,they,,,
10917,the abode,we,,,
10918,a result,the half-breed descendants,,,
10919,the time,Some,,,
10920,the literary influence,Old Catalan,,,
10921,the command line,we,,,
10922,the monks,farmers,,,
10923,,,,,
10924,each,,,,
10925,,you,,,
10926,,who,,,
10927,stupidity,,,,
10928,the common name attribute type,which,,,
10929,our tests,we,,,
10930,,it,,,
10931,the id attribute,Some older user agents,,,
10932,,Maybe well-done qualitative studies,,,
10933,the source,,,,
10934,the island's climate,Some,,,
10935,a specific medical cause,doctors,,,
10936,a few sentences,,,,
10937,,they,,,
10938,you,someone,,,
10939,Dr. Reich,,,,Reich
10940,death,Other atrocities human rights groups,,,
10941,,,,,
10942,them,You,,,
10943,the symbols,people,,,
10944,the jewelry,they,,,
10945,,,,,
10946,memory,others,,,
10947,,,,,
10948,,,,,
10949,your players,you,,,
10950,Madden,,,,
10951,every player,this newest addition,,,
10952,Madden,EA Tiburon,,,
10953,his performance,Brett Favre,,,Brett Favre
10954,,Vick,,,Vick
10955,the career mode,,,,
10956,,You,,,
10957,themselves,who,,,
10958,people,it,,,
10959,Fekkai's special protein treatments,Many celebrities,,,Fekkai
10960,the style,a woman,,,
10961,its author,you,,,
10962,a Turkish king,Some legends,,,
10963,,,,,
10964,a pediatrician,it,,,
10965,,you,,,
10966,doubt,,,,
10967,,,,,
10968,the Sage King,we,,,Pacal Votan
10969,anyone,,,,
10970,the uniform policy,officials,,,
10971,ghosts,,,,
10972,Queen Mary I,Some historians,,,Queen Mary I
10973,such doomsday events,many websites,,,
10974,,,,,
10975,,it,,,
10976,the introduction,experts,,,
10977,a lack,They,,,
10978,the wheel,that,,,
10979,someone,you,,,
10980,your best physical attribute,that,,,
10981,the gay community's smouldering sense,which,,,
10982,,that,,,Faster
10983,the attribute,you,,,
10984,,that,,,
10985,the Orlando innamorato,,,,
10986,Egypt,,,,
10987,,The commentators,,,
10988,,The hypothesis,,,
10989,monism,he,,,
10990,Haeckel,,,,
10991,all its attributes,,,,
10992,pressure,,,,
10993,his teachings,,,,Paul
10994,Gemara,which,,,Mishnah
10995,their cosmopolitanism,who,,,
10996,a characteristic attribute,which,,,
10997,the reason,who,,,Joinville
10998,a primitive attribute,which,,,
10999,,No human art,,,
11000,him,,,,
11001,a mere attribute,we,,,Word
11002,Cebes,who,,,Tabula
11003,man's distinctive attribute,we,,,
11004,men,The Zulus,,,
11005,,,,,Rig Veda
11006,,the body,,,
11007,medical science,they,,,Adelard of Bath
11008,,,,,
11009,the same school,they,,,
11010,,,,,
11011,,"The ""hidden"" input element",,,
11012,a period,,,,
11013,his weapon,who,,,
11014,qualitative research,,,,
11015,a corresponding decrease,,,,
11016,textual emendation,Most scholars,,,
11017,,previous versions,,,
11018,,the attribute,,,
11019,,String getType,,,
11020,,,,,
11021,love,who,,,
11022,a number,,,,
11023,,,,,br
11024,the Attribute toolbar,you,,,
11025,state,,,,
11026,,The opening paragraph,,,
11027,a particular knowledge attribute value,each Access Point,,,
11028,gases,we,,,
11029,the vessel,allowance,,,
11030,reference,which,,,
11031,addition,the soldiers,,,
11032,the development,,,,
11033,extra-corporeal intelligences,they,,,
11034,the prompting,she,,,Choiseul
11035,contrast,we,,,
11036,state,,,,
11037,anxiety,who,,,
11038,months,that,,,O.J. Simpson
11039,,their appearance,,,
11040,the minister,,,,
11041,,which,,,Ba'al
11042,the influence,he,,,
11043,the majority,both model,,,Lepidoptera
11044,India,Poisonous or noxious animals,,,
11045,Pythagoras,some,,,
11046,,men,,,
11047,beings,uncivilized men,,,
11048,the source,a given attribute,,,
11049,,we,,,
11050,,The deprecated ALIGN attribute,,,
11051,,You,,,
11052,,Boolean,,,
11053,that form,he,,,
11054,him,,,,Zebedean
11055,the addition,,,,
11056,the accidental administration,,,,
11057,the explanation,,,,
11058,an inborn Quality,they,,,
11059,an attribute,daughter,,,
11060,the cover,,,,
11061,,Some good judges,,,
11062,it,which,,,
11063,circumstances,,,,
11064,the author,we,,,
11065,the culture,he,,,
11066,,,,,
11067,,a comparator object,,,
11068,docent,Gladys,,,
11069,his licence,he,,,
11070,,,,,
11071,a higher level,you,,,
11072,1882 professor,he,,,
11073,Breslau,he,,,
11074,Upsala University,he,,,
11075,docent,he,,,St Nicholas
11076,Gottingen,He,,,
11077,,,,,
11078,the sea,You,,,
11079,either side,He,,,
11080,,,,,
11081,,,,,
11082,either,,,,
11083,,You,,,
11084,the demand,,,,
11085,either the French,,,,
11086,,I,,,
11087,trouble,it,,,
11088,profound and calm meditation,it,,,Pierre
11089,,she,,,
11090,her face,She,,,
11091,,,,,
11092,,Yancey,,,Yancey
11093,all the howitzers,,,,Sorbier
11094,her,my,,,
11095,the scars,,,,
11096,,,,,
11097,,I,,,Alex
11098,Andy Gordon,,,,Andy Gordon
11099,,he,,,
11100,,I,,,
11101,Alex,he,,,
11102,the Torzhok post station,,,,Torzhok
11103,his white hat,who,,,
11104,,I,,,
11105,what,they,,,
11106,,I,,,
11107,,,,,
11108,,Nobody,,,
11109,,,,,
11110,,I,,,
11111,,,,,
11112,which,they,,,
11113,Austria,,,,
11114,,he,,,Giddon
11115,her,he,,,
11116,Paris,He,,,
11117,either department,You,,,
11118,,I,,,
11119,,it,,,
11120,,no one,,,
11121,,,,,
11122,the tip line,either Betsy,,,Betsy
11123,abortion,I,,,
11124,,they,,,
11125,the organization,he,,,
11126,Norfolk,he,,,
11127,the door,he,,,
11128,,The head office,,,
11129,Scranton,,,,
11130,,,,,
11131,,I,,,
11132,either case,which,,,
11133,that,I,,,
11134,either side,Those,,,
11135,which,Pierre,,,Pierre
11136,you,you,,,
11137,,they,,,
11138,the dark,,,,
11139,multiple times,none,,,
11140,,,,,
11141,,I,,,
11142,,him,,,
11143,,He,,,
11144,,She,,,
11145,,I,,,
11146,Deidre,I,,,
11147,,I,,,
11148,,Evelyn,,,Evelyn
11149,,,,,
11150,,he,,,
11151,,I,,,
11152,,,,,
11153,Donald Ryland,we,,,Donald Ryland
11154,that account,I,,,
11155,,any body,,,
11156,,,,,
11157,herself,they,,,
11158,,she,,,
11159,it,I,,,
11160,you,I,,,
11161,a demon,,,,
11162,Deidre,he,,,
11163,,You,,,
11164,,he,,,
11165,her,,,,
11166,,,,,
11167,either,which,,,
11168,either,she,,,Cynthia
11169,,she,,,
11170,,I,,,Fred
11171,,he,,,
11172,either side,His fingers,,,
11173,our relationship,she,,,Lori
11174,,They,,,Horsemen
11175,home,I,,,
11176,the office,that,,,
11177,a shoe,He,,,
11178,this guy,He,,,
11179,the entertainment,they,,,
11180,,nobody,,,
11181,both counts,,,,Fred
11182,a central hall,,,,
11183,Collingswood Avenue,Dean,,,Dean
11184,,,,,Willie Wassermann
11185,,I,,,
11186,,,,,
11187,,I,,,
11188,,You,,,
11189,,,,,
11190,,I,,,
11191,,he,,,
11192,,,,,
11193,their wooden fingers,they,,,
11194,,war,,,
11195,work,nothing,,,
11196,either side,the battle,,,
11197,her,he,,,
11198,,I,,,
11199,Julie's voice,she,,,
11200,,someone,,,
11201,GPS,we,,,
11202,,She,,,
11203,a wedding,,,,
11204,the two worlds,,,,
11205,line,who,,,
11206,,we,,,Paul
11207,,She,,,
11208,,She,,,Death
11209,a human,She,,,
11210,Deidre,that,,,
11211,,,,,
11212,Hell,,,,
11213,,I,,,
11214,,,,,
11215,the corridor,"A narrow, lit walkway",,,
11216,either the man,he,,,Hannah
11217,,she,,,
11218,the walls,he,,,
11219,the pyre,Snow,,,
11220,,,,,
11221,their short interaction,she,,,
11222,the viewer,she,,,
11223,either side,Two warriors,,,
11224,Qatwali,He,,,
11225,the last six months,I,,,
11226,,,,,Edith Shipton
11227,,I,,,
11228,skis,us,,,Ouray
11229,,It,,,
11230,,,,,
11231,venereal disease,he,,,
11232,,it,,,
11233,an unoccupied room,,,,Janet
11234,,they,,,
11235,Bird Song,I,,,Shipton
11236,,,,,
11237,a day,Ryland,,,Jerome Shipton
11238,Lucifer,he,,,Jake Weller
11239,his certain death,he,,,
11240,,,,,Dean
11241,,Shipton's fall,,,
11242,Edith's room,who,,,Fitzgerald
11243,,I,,,
11244,the pen,we,,,
11245,,she,,,Edith Shipton
11246,him,she,,,
11247,either side,Two formidable men,,,
11248,,it,,,
11249,,I,,,
11250,the same reason,I,,,
11251,a time,Jackson,,,Jackson
11252,one leg,Sarah,,,Sarah
11253,a blanket,Elisabeth,,,Elisabeth
11254,either,anything,,,
11255,a person,vampirism,,,
11256,either side,Jackson,,,Jackson
11257,either side,He,,,Sarah
11258,,The werewolf,,,
11259,either side,Elisabeth,,,Elisabeth
11260,,,,,
11261,,I,,,
11262,,Alex,,,Alex
11263,,you,,,
11264,either side,His fingers,,,
11265,,,,,
11266,the depths,the relationship,,,Alex
11267,this kind,either,,,
11268,,You,,,
11269,the expression,she,,,Josh
11270,her level,He,,,
11271,,she,,,
11272,,,,,
11273,the edge,He,,,
11274,a relationship,both,,,
11275,either,he,,,
11276,,She,,,
11277,,he,,,
11278,,You,,,
11279,,Elise,,,
11280,,So-called experts,,,
11281,an opportunity,she,,,Brady
11282,rules,I,,,
11283,,I,,,
11284,,they,,,
11285,either world,He,,,
11286,Andre,who,,,Katie
11287,,The underworld's chilled rain,,,
11288,,No amount,,,
11289,,he,,,Aaron
11290,the same spot,,,,
11291,,I,,,
11292,Descartes,either understanding,,,
11293,ascertained and verified truths,which,,,
11294,,,,,
11295,the jack,he,,,
11296,the ditch,itself,,,
11297,Prussia,each province,,,
11298,Alexander I.,,,,Alexander I.
11299,the 13th or 14th century,they,,,Leka Dukajini
11300,all the sections,,,,
11301,either horizontal or vertical sections,,,,
11302,other churches,,,,
11303,,,,,
11304,,,,,
11305,the transaction,which,,,
11306,every congregation,,,,
11307,the Chamber,,,,
11308,the Senate,the government,,,
11309,an order,He,,,
11310,a philologist,he,,,Ernesti
11311,the conical Mount Oros,the Panhellenian ridge,,,
11312,the whole length,the teats,,,
11313,the larger pair,,,,
